TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
367000000.0	5162609.8	3378648.4	21154250.6
368000000.0	5162836.3	3378739.3	21158682.4
369000000.0	5163061.6	3378829.8	21163092.1
370000000.0	5163285.7	3378919.7	21167479.8
371000000.0	5163508.6	3379009.1	21171845.7
372000000.0	5163730.3	3379098.1	21176189.9
373000000.0	5163950.9	3379186.6	21180512.6
374000000.0	5164170.3	3379274.7	21184814.0
375000000.0	5164388.5	3379362.2	21189094.2
376000000.0	5164605.6	3379449.3	21193353.3
377000000.0	5164821.6	3379536.0	21197591.6
378000000.0	5165036.4	3379622.2	21201809.2
379000000.0	5165250.1	3379707.9	21206006.2
380000000.0	5165462.8	3379793.2	21210182.8
381000000.0	5165674.3	3379878.1	21214339.2
382000000.0	5165884.7	3379962.5	21218475.4
383000000.0	5166094.1	3380046.5	21222591.6
384000000.0	5166302.3	3380130.0	21226688.0
385000000.0	5166509.5	3380213.2	21230764.7
386000000.0	5166715.7	3380295.9	21234821.9
387000000.0	5166920.8	3380378.1	21238859.7
388000000.0	5167124.9	3380460.0	21242878.2
389000000.0	5167327.9	3380541.4	21246877.6
390000000.0	5167529.9	3380622.4	21250857.9
391000000.0	5167730.9	3380703.0	21254819.5
392000000.0	5167930.9	3380783.2	21258762.3
393000000.0	5168129.8	3380863.0	21262686.5
394000000.0	5168327.8	3380942.4	21266592.2
395000000.0	5168524.8	3381021.4	21270479.6
396000000.0	5168720.8	3381100.0	21274348.8
397000000.0	5168915.9	3381178.2	21278200.0
398000000.0	5169109.9	3381256.0	21282033.2
399000000.0	5169303.0	3381333.5	21285848.6
400000000.0	5169495.2	3381410.5	21289646.2
401000000.0	5169686.4	3381487.2	21293426.3
402000000.0	5169876.7	3381563.5	21297189.0
403000000.0	5170066.1	3381639.4	21300934.3
404000000.0	5170254.5	3381715.0	21304662.4
405000000.0	5170442.0	3381790.1	21308373.4
406000000.0	5170628.6	3381864.9	21312067.4
407000000.0	5170814.3	3381939.4	21315744.6
408000000.0	5170999.1	3382013.5	21319405.0
409000000.0	5171183.0	3382087.2	21323048.8
410000000.0	5171366.1	3382160.5	21326676.0
411000000.0	5171548.2	3382233.6	21330286.9
412000000.0	5171729.5	3382306.2	21333881.5
413000000.0	5171909.9	3382378.5	21337459.8
414000000.0	5172089.5	3382450.5	21341022.1
415000000.0	5172268.2	3382522.1	21344568.5
416000000.0	5172446.0	3382593.4	21348098.9
417000000.0	5172623.0	3382664.3	21351613.6
418000000.0	5172799.2	3382735.0	21355112.7
419000000.0	5172974.6	3382805.2	21358596.2
420000000.0	5173149.1	3382875.2	21362064.3
421000000.0	5173322.8	3382944.8	21365517.0
422000000.0	5173495.7	3383014.1	21368954.5
423000000.0	5173667.8	3383083.0	21372376.9
424000000.0	5173839.1	3383151.7	21375784.2
425000000.0	5174009.6	3383220.0	21379176.6
426000000.0	5174179.3	3383288.0	21382554.1
427000000.0	5174348.2	3383355.7	21385916.9
428000000.0	5174516.4	3383423.0	21389265.0
429000000.0	5174683.7	3383490.1	21392598.6
430000000.0	5174850.3	3383556.8	21395917.8
431000000.0	5175016.2	3383623.3	21399222.5
432000000.0	5175181.3	3383689.4	21402513.0
433000000.0	5175345.6	3383755.2	21405789.4
434000000.0	5175509.2	3383820.8	21409051.6
435000000.0	5175672.0	3383886.0	21412299.9
436000000.0	5175834.1	3383950.9	21415534.2
437000000.0	5175995.5	3384015.6	21418754.7
438000000.0	5176156.2	3384079.9	21421961.5
439000000.0	5176316.1	3384144.0	21425154.6
440000000.0	5176475.3	3384207.8	21428334.2
441000000.0	5176633.8	3384271.3	21431500.4
442000000.0	5176791.6	3384334.5	21434653.1
443000000.0	5176948.7	3384397.4	21437792.5
444000000.0	5177105.1	3384460.0	21440918.8
445000000.0	5177260.8	3384522.4	21444031.9
446000000.0	5177415.8	3384584.4	21447131.9
447000000.0	5177570.1	3384646.2	21450219.0
448000000.0	5177723.7	3384707.8	21453293.2
449000000.0	5177876.7	3384769.0	21456354.6
450000000.0	5178029.0	3384830.0	21459403.3
451000000.0	5178180.6	3384890.7	21462439.3
452000000.0	5178331.6	3384951.2	21465462.7
453000000.0	5178481.9	3385011.4	21468473.7
454000000.0	5178631.6	3385071.3	21471472.3
455000000.0	5178780.6	3385131.0	21474458.5
456000000.0	5178928.9	3385190.4	21477432.4
457000000.0	5179076.7	3385249.5	21480394.2
458000000.0	5179223.8	3385308.4	21483343.9
459000000.0	5179370.2	3385367.1	21486281.5
460000000.0	5179516.0	3385425.4	21489207.2
461000000.0	5179661.2	3385483.6	21492120.9
462000000.0	5179805.8	3385541.5	21495022.9
463000000.0	5179949.8	3385599.1	21497913.1
464000000.0	5180093.1	3385656.5	21500791.7
465000000.0	5180235.9	3385713.6	21503658.6
