TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
234000000.0	7333274.4	4559386.2	11120928.1
235000000.0	7334328.9	4559763.4	11123440.5
236000000.0	7335374.8	4560137.5	11125932.8
237000000.0	7336412.1	4560508.5	11128405.2
238000000.0	7337441.1	4560876.5	11130857.9
239000000.0	7338461.7	4561241.4	11133291.1
240000000.0	7339474.0	4561603.4	11135705.2
241000000.0	7340478.3	4561962.4	11138100.2
242000000.0	7341474.5	4562318.5	11140476.5
243000000.0	7342462.8	4562671.7	11142834.2
244000000.0	7343443.3	4563022.1	11145173.6
245000000.0	7344416.0	4563369.6	11147494.9
246000000.0	7345381.0	4563714.4	11149798.3
247000000.0	7346338.5	4564056.5	11152084.0
248000000.0	7347288.5	4564395.8	11154352.1
249000000.0	7348231.2	4564732.5	11156603.0
250000000.0	7349166.5	4565066.5	11158836.8
251000000.0	7350094.6	4565397.9	11161053.7
252000000.0	7351015.6	4565726.7	11163253.8
253000000.0	7351929.5	4566053.0	11165437.5
254000000.0	7352836.5	4566376.8	11167604.8
255000000.0	7353736.5	4566698.0	11169755.9
256000000.0	7354629.8	4567016.8	11171891.1
257000000.0	7355516.3	4567333.2	11174010.4
258000000.0	7356396.2	4567647.1	11176114.2
259000000.0	7357269.4	4567958.7	11178202.5
260000000.0	7358136.2	4568267.9	11180275.5
261000000.0	7358996.5	4568574.8	11182333.3
262000000.0	7359850.4	4568879.4	11184376.3
263000000.0	7360698.1	4569181.7	11186404.4
264000000.0	7361539.5	4569481.7	11188417.9
265000000.0	7362374.8	4569779.6	11190416.9
266000000.0	7363203.9	4570075.2	11192401.7
267000000.0	7364027.1	4570368.6	11194372.2
268000000.0	7364844.3	4570659.9	11196328.8
269000000.0	7365655.6	4570949.1	11198271.5
270000000.0	7366461.0	4571236.2	11200200.4
271000000.0	7367260.7	4571521.1	11202115.8
272000000.0	7368054.7	4571804.1	11204017.8
273000000.0	7368843.0	4572084.9	11205906.5
274000000.0	7369625.8	4572363.8	11207782.0
275000000.0	7370403.0	4572640.7	11209644.5
276000000.0	7371174.7	4572915.6	11211494.1
277000000.0	7371941.1	4573188.5	11213331.0
278000000.0	7372702.0	4573459.5	11215155.3
279000000.0	7373457.7	4573728.6	11216967.1
280000000.0	7374208.1	4573995.8	11218766.6
281000000.0	7374953.4	4574261.2	11220553.8
282000000.0	7375693.5	4574524.7	11222328.9
283000000.0	7376428.5	4574786.3	11224092.0
284000000.0	7377158.5	4575046.2	11225843.3
285000000.0	7377883.5	4575304.2	11227582.8
286000000.0	7378603.6	4575560.5	11229310.7
287000000.0	7379318.8	4575815.0	11231027.1
288000000.0	7380029.2	4576067.8	11232732.0
289000000.0	7380734.8	4576318.8	11234425.7
290000000.0	7381435.7	4576568.2	11236108.3
291000000.0	7382131.9	4576815.8	11237779.8
292000000.0	7382823.4	4577061.8	11239440.3
293000000.0	7383510.4	4577306.2	11241090.0
294000000.0	7384192.8	4577548.9	11242728.9
295000000.0	7384870.7	4577790.0	11244357.2
296000000.0	7385544.1	4578029.4	11245975.0
297000000.0	7386213.2	4578267.3	11247582.4
298000000.0	7386877.8	4578503.6	11249179.4
299000000.0	7387538.2	4578738.4	11250766.2
300000000.0	7388194.2	4578971.6	11252342.9
301000000.0	7388846.0	4579203.3	11253909.5
302000000.0	7389493.6	4579433.5	11255466.2
303000000.0	7390137.1	4579662.2	11257013.0
304000000.0	7390776.4	4579889.4	11258550.1
305000000.0	7391411.6	4580115.1	11260077.6
306000000.0	7392042.8	4580339.4	11261595.4
307000000.0	7392670.0	4580562.3	11263103.8
308000000.0	7393293.2	4580783.7	11264602.8
309000000.0	7393912.5	4581003.7	11266092.5
310000000.0	7394527.9	4581222.3	11267573.0
311000000.0	7395139.5	4581439.5	11269044.4
312000000.0	7395747.2	4581655.4	11270506.7
313000000.0	7396351.1	4581869.9	11271960.0
314000000.0	7396951.3	4582083.0	11273404.5
315000000.0	7397547.8	4582294.8	11274840.1
316000000.0	7398140.6	4582505.3	11276267.1
317000000.0	7398729.8	4582714.5	11277685.4
318000000.0	7399315.3	4582922.4	11279095.1
319000000.0	7399897.3	4583129.0	11280496.4
320000000.0	7400475.7	4583334.3	11281889.2
321000000.0	7401050.6	4583538.4	11283273.7
322000000.0	7401622.0	4583741.2	11284650.0
323000000.0	7402190.0	4583942.8	11286018.0
324000000.0	7402754.5	4584143.1	11287378.0
325000000.0	7403315.7	4584342.3	11288729.9
326000000.0	7403873.5	4584540.2	11290073.8
